elevation,pps
219,POINT (40.255416666666669 48.091527777777777)
219,POINT (40.255416666666669 48.09180555555556)
219,POINT (40.255416666666669 48.092083333333335)
221,POINT (40.255416666666669 48.09236111111111)
223,POINT (40.255416666666669 48.092638888888892)
218,POINT (40.255416666666669 48.092916666666667)
221,POINT (40.255416666666669 48.09319444444445)
218,POINT (40.255416666666669 48.093472222222225)
218,POINT (40.255416666666669 48.09375)
217,POINT (40.255416666666669 48.094027777777782)
221,POINT (40.255416666666669 48.094305555555557)
218,POINT (40.255416666666669 48.094583333333333)
214,POINT (40.255694444444444 48.082083333333337)
213,POINT (40.255694444444444 48.082361111111112)
213,POINT (40.255694444444444 48.082638888888894)
214,POINT (40.255694444444444 48.082916666666669)
215,POINT (40.255694444444444 48.083194444444445)
219,POINT (40.255694444444444 48.083472222222227)
221,POINT (40.255694444444444 48.08375)
221,POINT (40.255694444444444 48.084027777777777)
220,POINT (40.255694444444444 48.084305555555559)
223,POINT (40.255694444444444 48.084583333333335)
225,POINT (40.255694444444444 48.084861111111117)
228,POINT (40.255694444444444 48.085138888888892)
229,POINT (40.255694444444444 48.085416666666667)
228,POINT (40.255694444444444 48.085694444444449)
227,POINT (40.255694444444444 48.085972222222225)
231,POINT (40.255694444444444 48.08625)
232,POINT (40.255694444444444 48.086527777777782)
229,POINT (40.255694444444444 48.086805555555557)
231,POINT (40.255694444444444 48.087083333333332)
229,POINT (40.255694444444444 48.087361111111115)
230,POINT (40.255694444444444 48.08763888888889)
231,POINT (40.255694444444444 48.087916666666672)
230,POINT (40.255694444444444 48.088194444444447)
230,POINT (40.255694444444444 48.088472222222222)
228,POINT (40.255694444444444 48.088750000000005)
225,POINT (40.255694444444444 48.08902777777778)
228,POINT (40.255694444444444 48.089305555555555)
226,POINT (40.255694444444444 48.089583333333337)
226,POINT (40.255694444444444 48.089861111111112)
225,POINT (40.255694444444444 48.090138888888895)
225,POINT (40.255694444444444 48.09041666666667)
224,POINT (40.255694444444444 48.090694444444445)
223,POINT (40.255694444444444 48.090972222222227)
221,POINT (40.255694444444444 48.09125)
220,POINT (40.255694444444444 48.091527777777777)
219,POINT (40.255694444444444 48.09180555555556)
221,POINT (40.255694444444444 48.092083333333335)
220,POINT (40.255694444444444 48.09236111111111)
220,POINT (40.255694444444444 48.092638888888892)
213,POINT (40.255694444444444 48.092916666666667)
216,POINT (40.255694444444444 48.09319444444445)
215,POINT (40.255694444444444 48.093472222222225)
216,POINT (40.255694444444444 48.09375)
217,POINT (40.255694444444444 48.094027777777782)
220,POINT (40.255694444444444 48.094305555555557)
218,POINT (40.255694444444444 48.094583333333333)
216,POINT (40.255972222222226 48.082083333333337)
213,POINT (40.255972222222226 48.082361111111112)
214,POINT (40.255972222222226 48.082638888888894)
214,POINT (40.255972222222226 48.082916666666669)
215,POINT (40.255972222222226 48.083194444444445)
216,POINT (40.255972222222226 48.083472222222227)
219,POINT (40.255972222222226 48.08375)
221,POINT (40.255972222222226 48.084027777777777)
221,POINT (40.255972222222226 48.084305555555559)
222,POINT (40.255972222222226 48.084583333333335)
225,POINT (40.255972222222226 48.084861111111117)
225,POINT (40.255972222222226 48.085138888888892)
227,POINT (40.255972222222226 48.085416666666667)
228,POINT (40.255972222222226 48.085694444444449)
228,POINT (40.255972222222226 48.085972222222225)
230,POINT (40.255972222222226 48.08625)
233,POINT (40.255972222222226 48.086527777777782)
231,POINT (40.255972222222226 48.086805555555557)
231,POINT (40.255972222222226 48.087083333333332)
230,POINT (40.255972222222226 48.087361111111115)
231,POINT (40.255972222222226 48.08763888888889)
231,POINT (40.255972222222226 48.087916666666672)
230,POINT (40.255972222222226 48.088194444444447)
229,POINT (40.255972222222226 48.088472222222222)
228,POINT (40.255972222222226 48.088750000000005)
226,POINT (40.255972222222226 48.08902777777778)
230,POINT (40.255972222222226 48.089305555555555)
227,POINT (40.255972222222226 48.089583333333337)
226,POINT (40.255972222222226 48.089861111111112)
225,POINT (40.255972222222226 48.090138888888895)
224,POINT (40.255972222222226 48.09041666666667)
224,POINT (40.255972222222226 48.090694444444445)
221,POINT (40.255972222222226 48.090972222222227)
221,POINT (40.255972222222226 48.09125)
220,POINT (40.255972222222226 48.091527777777777)
222,POINT (40.255972222222226 48.09180555555556)
221,POINT (40.255972222222226 48.092083333333335)
221,POINT (40.255972222222226 48.09236111111111)
216,POINT (40.255972222222226 48.092638888888892)
215,POINT (40.255972222222226 48.092916666666667)
215,POINT (40.255972222222226 48.09319444444445)
214,POINT (40.255972222222226 48.093472222222225)
218,POINT (40.255972222222226 48.09375)
219,POINT (40.255972222222226 48.094027777777782)
219,POINT (40.255972222222226 48.094305555555557)
219,POINT (40.255972222222226 48.094583333333333)
216,POINT (40.25625 48.082083333333337)
214,POINT (40.25625 48.082361111111112)
214,POINT (40.25625 48.082638888888894)
214,POINT (40.25625 48.082916666666669)
215,POINT (40.25625 48.083194444444445)
215,POINT (40.25625 48.083472222222227)
217,POINT (40.25625 48.08375)
219,POINT (40.25625 48.084027777777777)
221,POINT (40.25625 48.084305555555559)
224,POINT (40.25625 48.084583333333335)
225,POINT (40.25625 48.084861111111117)
226,POINT (40.25625 48.085138888888892)
